No,Kode,Nama,Tanggal Pencatatan,Saham,Papan Pencatatan
161,CNTX,Century Textile Industry Tbk PT Preference Shares,22 Mei 1979,70000000,PENGEMBANGAN
162,COCO,WISE COMM/COCOA INDIVIDUAL SECURITI,20 Mar 2019,554917005,PENGEMBANGAN
163,COWL,Cowell Development Tbk PT,19 Des 2007,4871214021,PENGEMBANGAN
164,CPIN,Charoen Pokphand Indonesia Tbk PT,18 Mar 1991,16398000000,UTAMA
165,CPRI,Capri Holdings Ltd,11 Apr 2019,2433375000,PENGEMBANGAN
166,CPRO,Central Proteina Prima Tbk PT,28 Nov 2006,59572382787,UTAMA
167,CSAP,Catur Sentosa Adiprana Tbk PT,12 Des 2007,4458352920,UTAMA
168,CSIS,PT Cahayasakti Investindo Sukses Tbk,10 Mei 2017,1307000000,PENGEMBANGAN
169,CTBN,Citra Tubindo Tbk PT,28 Nov 1989,800371500,UTAMA
170,CTRA,Contura Energy Inc,28 Mar 1994,18560303397,UTAMA
171,CTTH,CTT Pharmaceutical Holdings Inc,03 Jul 1996,1230839821,Pengembangan
172,DART,Duta Anggada Realty Tbk PT,08 Mei 1990,3141390962,UTAMA
173,DAYA,Duta Intidaya Tbk PT,28 Jun 2016,2420547025,PENGEMBANGAN
174,DEAL,Dewata Freight International Tbk PT,09 Nov 2018,1120046107,PENGEMBANGAN
175,DEFI,Danasupra Erapacific,06 Jul 2001,676000000,PENGEMBANGAN
176,DEWA,Darma Henwa Tbk PT,26 Sep 2007,21853733792,UTAMA
177,DFAM,Dafam Property Indonesia Tbk PT,27 Apr 2018,1899480090,PENGEMBANGAN
178,DGIK,Nusa Konstruksi Enjiniring Tbk PT,19 Des 2007,5541165000,UTAMA
179,DIGI,Digitiliti Incorporated,18 Sep 2018,325000000,PENGEMBANGAN
180,DILD,Intiland Development Tbk PT,04 Sep 1991,10365854185,UTAMA
181,DIVA,FQF TR/QUANTSHARES HEDGED,27 Nov 2018,714285700,PENGEMBANGAN
182,DKFT,Central Omega Resources Tbk PT,21 Nov 1997,5638246600,PENGEMBANGAN
183,DLTA,Delta Oil & Gas Inc,12 Feb 1984,800659050,UTAMA
184,DMAS,PT Puradelta Lestari Tbk,29 Mei 2015,48198111100,UTAMA
185,DMMX,Digital Mediatama Maxima PT,21 Okt 2019,7692307700,Pengembangan
186,DNAR,Bank Oke Indonesia Tbk PT,11 Jul 2014,6255638604,Utama
187,DNET,Indoritel Makmur Internasional Tbk PT,11 Des 2000,14184000000,PENGEMBANGAN
188,DOID,Delta Dunia Makmur Tbk PT,15 Jun 2001,8611686432,PENGEMBANGAN
189,DPNS,Duta Pertiwi Nusantara Tbk PT,08 Ags 1990,331129952,UTAMA
190,DPUM,Dua Putra Utama Makmur Tbk PT,08 Des 2015,4175000000,UTAMA
191,DSFI,PT Dharma Samudera Fishing Industris Tbk,24 Mar 2000,1857135500,UTAMA
192,DSNG,Dharma Satya Nusantara,14 Jun 2013,10599842400,UTAMA
193,DSSA,Dian Swastatika Sentosa Tbk PT,10 Des 2009,770552320,UTAMA
194,DUCK,Jaya Bersama Indo Tbk PT,10 Okt 2018,1283330000,UTAMA
195,DUTI,Duta Pertiwi Tbk PT,02 Nov 1994,1850000000,PENGEMBANGAN
196,DVLA,Darya-Varia Laboratoria Tbk PT,11 Nov 1994,1120000000,UTAMA
197,DWGL,Dwi Guna Laksana Tbk PT,13 Des 2017,8681753942,Pengembangan
198,DYAN,Dyandra Media International Tbk PT,25 Mar 2013,4272964279,UTAMA
199,EAST,Eastside Distilling Inc,09 Jul 2019,4126365990,PENGEMBANGAN
200,ECII,Electronic City Indonesia Tbk PT,03 Jul 2013,1334333000,PENGEMBANGAN
201,EKAD,Ekadharma International Tbk PT,14 Ags 1990,698775000,UTAMA
202,ELSA,Elnusa Tbk PT,06 Feb 2008,7298500000,UTAMA
203,ELTY,Bakrieland Development Tbk PT,30 Okt 1995,43521913019,PENGEMBANGAN
204,EMDE,Empresa Distribuidora Electrica Reg SA,12 Jan 2011,3350000000,PENGEMBANGAN
205,EMTK,Elang Mahkota Teknologi Tbk PT,12 Jan 2010,5640032442,UTAMA
206,ENRG,New Energy Metals Corp,07 Jun 2004,10342179272,PENGEMBANGAN
207,ENVY,Envy Technologies Indonesia Tbk PT,08 Jul 2019,1800000000,PENGEMBANGAN
208,EPMT,Enseval Putera Megatrading Tbk PT,01 Ags 1994,2708640000,PENGEMBANGAN
209,ERAA,Erajaya Swasembada Tbk PT,14 Des 2011,3190000000,UTAMA
